 CÓDIGO;DESCRIPCION;LATITUD;LONGITUD;DIRECCIÓN;C.P.;POBLACION;PROVINCIA;Fichas;Túneles lavado
05798;LA DEVESA;42,820148;-5,302187;CALLE ESTACION FERROCARRIL S/N;24860;Vegaquemada;León;https://data.renfe.com/files/estaciones/FichaEstacion05798.pdf;
05799;CEREZAL DE LA GUZPEÑA;42,779787;-5,005576;CARRETERA CL-626 - ESTACION FERROCARRIL, S/N;24893;Prado de la Guzpeña;León;https://data.renfe.com/files/estaciones/FichaEstacion05799.pdf;
05801;VENTAS SAN MAMES;42,6093765;-5,5717606;Plaza Juan de Austria;24008;León;León;;
05803;LA ASUNCION UNIVERSIDAD;42,615821;-5,566379;CALLE TAMBARON, 3;24003;León;León;https://data.renfe.com/files/estaciones/FichaEstacion05803.pdf;
05805;BARRIO DE LAS OLLAS;42,85859;-5,339461;CALLE LA UNION, S/N;24852;Boñar;León;https://data.renfe.com/files/estaciones/FichaEstacion05805.pdf;
05807;VALDERILLA;42,718707;-5,529982;CARRETERA LE-4518 - ESTACION FERROCARRIL, S/N;24891;Santander;Cantabria;https://data.renfe.com/files/estaciones/FichaEstacion05807.pdf;
05951;CARTAGENA-PLAZA BASTARRECHE;37,603575;-0,977029;PLAZA ALMIRANTE BASTARRECHE, S/N;30202;Cartagena;Murcia;https://data.renfe.com/files/estaciones/FichaEstacion05951.pdf;
05952;HOSPITAL;37,605212;-0,960726;CARRETERA CT-33 - ACCESO HOSPITAL UNIVERSITARIO SANTA LUCIA;30202;Cartagena;Murcia;https://data.renfe.com/files/estaciones/FichaEstacion05952.pdf;
05953;MEDIA LEGUA;37,607888;-0,953643;CALLE CUESTA ESTANCO, S/N;30392;Cartagena;Murcia;https://data.renfe.com/files/estaciones/FichaEstacion05953.pdf;
05955;VISTA ALEGRE;37,609294;-0,944179;CALLE MONACO, 18;30399;Cartagena;Murcia;https://data.renfe.com/files/estaciones/FichaEstacion05955.pdf;
